,Space Name,Blueprint Name,Milestone Name,Activity,Color,Tech Solution Type,On Shore,Off Shore,Monthly Volume,Cycle Time,Participant Name,Milestone Number,Activity Number
0,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Scheduling Completed,Enter/Update Foreclosure Sale Date,yellow,DIS - Step Service|DIS - Data Form Service,0.0,0.0,1078,1 Minutes,Foreclosure Attorney,1,1.01
1,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Scheduling Completed,Launch Bidding Instructions Rail,default,DIS - Step Service,0.0,0.0,2223,,LPS (Workflow) Vendor,1,1.02
2,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,OCC Checklist Completed,Review Bid Report & Confirm Checklist,yellow,DIS - Step Service,2.0,0.0,2223,5 Minutes,Foreclosure Bid Team,2,2.01
3,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Instructions Prepared,FHA CWCOT/Government Loan Decision,default,Othe,2.0,0.0,2223,1 Minutes,Foreclosure Bid Team,3,3.01
4,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Tasks Completed,Create non-GSE Bid Instructions per Guidelines,default,Othe,2.0,0.0,7600,10 Minutes,Foreclosure Bid Team,4,4.01
5,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Tasks Completed,Complete Bid Preparations,default,,2.0,0.0,2223,5 Minutes,Foreclosure Bid Team,4,4.02
6,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Tasks Completed,Add BDCT Collection Code in Loan System,default,LSAMS Technology Enhancement,2.0,0.0,2223,2 Minutes,Foreclosure Bid Team,4,4.029999999999999
7,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Tasks Completed,Create Bid Instr per CWCOT Matrix,default,Othe,2.0,0.0,398,10 Minutes,Foreclosure Bid Team,4,4.039999999999999
8,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Bid Tasks Completed,Create GSE Bid Instructions per Investor Guidelines,default,Othe,2.0,0.0,578,10 Minutes,Foreclosure Bid Team,4,4.049999999999999
9,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Lender System Updated,Upload Bid Instructions to Default Workflow,yellow,DIS - Data Form Service|DIS - Step Service|Othe,2.0,0.0,2223,2 Minutes,Foreclosure Bid Team,5,5.01
10,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Lender System Updated,Add PRSL Code to Loan Sysem,default,LSAMS Technology Enhancement,2.0,0.0,226,2 Minutes,Foreclosure Bid Team,5,5.02
11,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Request Title Update,,,0.0,0.0,1409,,Foreclosure Attorney,6,6.01
12,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Complete Pre Sale BK Check,,,0.0,0.0,1409,,Foreclosure Attorney,6,6.02
13,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Complete SCRA Sale Eligibility Review,,,0.0,0.0,1409,,Foreclosure Attorney,6,6.029999999999999
14,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Enter Sale Results in Default Workflow,default,,0.0,0.0,1077,,Foreclosure Attorney,6,6.039999999999999
15,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Complete Chronology in Default Workflow,default,,0.0,0.0,1375,,Foreclosure Attorney,6,6.049999999999999
16,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Execute Foreclosure Sale/DIL GSE Reporting,default,,2.0,0.0,743,10 Minutes,Investor Reporting,6,6.059999999999999
17,"Blueworks Live Training, TMR Space",FCL Timeline FC Sale - Level 3,Foreclosure Sale Tasks Executed,Execute Foreclosure Post Sales Tasks,,,0.0,0.0,1055,,Foreclosure Attorney,6,6.0699999999999985
18,"Blueworks Live Training, TMR Space",Foreclosure Title Orders - Level 3,Foreclosure Title Report Created,Create Foreclosure Title Order Report,default,Existing LSAMS Technology,0.0,0.0,1117,,Default Reporting Team,1,1.01
19,"Blueworks Live Training, TMR Space",Foreclosure Title Orders - Level 3,Title Order Forwarded,Auto Send Assigned Title,default,Existing LSAMS Technology,0.0,0.0,328,,Default Reporting Team,2,2.01
